Name,Address,Rating,Total Ratings,Price Level,Place ID,Website
Living Room Laughs,"555 Madison Ave 5th floor, New York, NY 10022, USA",5.0,138,N/A,ChIJZblXaL5ZwokR-0Uctqy7N0o,http://www.livingroomlaughs.com/
Top Secret Comedy Club,"44 Avenue A, New York, NY 10009, USA",5.0,231,N/A,ChIJy9F6MLpZwokRuboxbvkGXd8,https://topsecretcomedyclub.com/
Comedy Village,"352 W 44th St, Manhattan, NY 10036, USA",4.9,3110,N/A,ChIJkXbVP0BZwokRijbXLj5yOfY,https://comedyvillage.com/?utm_source=google&utm_medium=gmb&utm_campaign=gmb_profile
High Line Comedy Club,"446 W 14th St, New York, NY 10014, USA",4.9,547,N/A,ChIJXfsikHhZwokRxr1XAbft_X8,http://highlinecomedy.com/
Drunk Shakespeare,"35 W 39th St, New York, NY 10018, USA",4.8,2574,N/A,ChIJTX7ob1NYwokRp-KL5mXIRag,http://www.drunkshakespeare.com/
Comedy In Harlem,"750A St Nicholas Ave, New York, NY 10031, USA",4.8,273,N/A,ChIJl7xKMNj1wokRvgM-m84Fxp4,http://www.comedyinharlem.com/
Rodney's Comedy Club,"1118 1st Ave, New York, NY 10065, USA",4.8,458,N/A,ChIJibPhfQBZwokRCu_dHOrtZa0,http://www.rodneysnewyorkcomedyclub.com/
Magnet Theater,"254 W 29th St, New York, NY 10001, USA",4.7,412,N/A,ChIJRah4JbBZwokRz1TqRgdn3Es,https://magnettheater.com/
The Second City New York,"64 N 9th St, Brooklyn, NY 11249, USA",4.7,274,N/A,ChIJv4cccglZwokRwENgJq6qkXs,https://www.secondcity.com/new-york
Comedy Cellar,"117 MacDougal St, New York, NY 10012, USA",4.7,7711,PRICE_LEVEL_EXPENSIVE,ChIJmzPYgJFZwokRg4zUwTlZwtI,http://comedycellar.com/
The Grisly Pear - Midtown,"243 W 54th St, New York, NY 10019, USA",4.7,375,N/A,ChIJ2coDr_NZwokRAP5zsx2kbok,https://midtown.thegrislypear.com/
BATSU!,"67 1st Ave, New York, NY 10003, USA",4.7,455,N/A,ChIJ4QKVd5xZwokRKNIH6nKJPAE,http://batsulive.com/
Asylum NYC,"123 E 24th St, New York, NY 10010, USA",4.6,211,N/A,ChIJaSmrRRpZwokRZ8s8WNeUf9g,http://asylumnyc.com/
The Tank,"312 W 36th St., New York, NY 10018, USA",4.6,362,N/A,ChIJoVpmv1NYwokRdSC6tdCYkdc,http://www.thetanknyc.org/
New York Comedy Club - Upper West Side,"236 W 78th St, New York, NY 10024, USA",4.6,375,N/A,ChIJESAv-hVZwokRwPoWEdLLf6c,https://newyorkcomedyclub.com/
Village Underground,"130 W 3rd St, New York, NY 10012, USA",4.6,1611,PRICE_LEVEL_MODERATE,ChIJUzSA1pNZwokRf6TVgNdK0W0,http://thevillageunderground.com/
Upright Citizens Brigade Theatre,"242 E 14th St, New York, NY 10003, USA",4.6,110,N/A,ChIJYwz0-YJZwokR1XOunnE1Pe4,https://ucbcomedy.com/
The PIT,"154 W 29th St, New York, NY 10001, USA",4.5,555,N/A,ChIJG3e1NKdZwokR26WFFB6Lx7w,http://www.thepit-nyc.com/
Gotham Comedy Club NYC,"208 W 23rd St, New York, NY 10011, USA",4.5,2407,PRICE_LEVEL_EXPENSIVE,ChIJpaxZnKRZwokRCPtV5DWaE50,http://www.gothamcomedyclub.com/
IMPROV,"575 Lexington Ave 4th floor, New York, NY 10022, USA",4.4,608,N/A,ChIJya-DOwJZwokRuyaGKO3MhTs,https://www.myimprov.com/defensive-driving/new-york?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing
West Side Comedy Club,"201 W 75th St, New York, NY 10023, USA",4.4,383,N/A,ChIJ2y9MoYlYwokR4VgrlmmMCbM,https://westsidecomedyclub.com/?utm_source=yext
The Stand,"116 E 16th St, New York, NY 10003, USA",4.4,1700,PRICE_LEVEL_MODERATE,ChIJgWBWFaBZwokRfOWdBPY5Y0o,https://thestandnyc.com/
Comedy Shop,"167 Bleecker St, New York, NY 10012, USA",4.4,773,N/A,ChIJj6cM8ZFZwokREXSH5bbSWZs,http://www.comedyshopnyc.com/events
New York Comedy Club - Midtown,"241 E 24th St, New York, NY 10010, USA",4.3,1734,PRICE_LEVEL_EXPENSIVE,ChIJ9esxOApZwokR90NQNxR7QRg,http://www.newyorkcomedyclub.com/
The Comic Strip,"1568 2nd Ave, New York, NY 10028, USA",4.3,923,PRICE_LEVEL_EXPENSIVE,ChIJQ7fusr5YwokRDVmR6HL6yrk,https://comicstriplive.com/
New York Comedy Club - East Village,"85 E 4th St, New York, NY 10003, USA",4.3,942,N/A,ChIJo_QP4ApZwokRmLGH_gwnxsI,https://newyorkcomedyclub.com/
Producers Club Theaters,"358 W 44th St, New York, NY 10036, USA",4.3,556,N/A,ChIJxT_asVNYwokRIgy4WDg2wb0,http://www.producersclub.com/
Stand Up NY at Bond 45,"221 W 46th St, New York, NY 10036, USA",4.2,718,PRICE_LEVEL_EXPENSIVE,ChIJ_bV3X4hYwokRr6gTpaJMeVI,http://www.standupny.com/
Broadway Comedy Club,"318 W 53rd St, New York, NY 10019, USA",3.7,3081,PRICE_LEVEL_INEXPENSIVE,ChIJzbNCnFdYwokR_biZR5iHYxY,http://www.broadwaycomedyclub.com/
